«Эта замечательная жизнь»,1946,"Это не просто один из лучших рождественских фильмов всех времен, это один из лучших фильмов в мире. «Эта замечательная жизнь» была номинирована на шесть премий «Оскар» и занимает 11-е место в списке 100 величайших американских фильмов всех времен, составленном Американским институтом кино."
«Эльф»,2003,"Несмотря на то что этот уморительный, но душевный фильм о человеке, воспитанном эльфами Санты на Северном полюсе, вышел на экраны менее 20 лет назад, он быстро стал праздничной классикой. Ну просто потому, что стать настоящим эльфом не так уж и легко!"
«Рождественские каникулы»,1989,"Вы с ужасом ожидаете приезда родственников на праздники? Если вы посмотрите этот фильм с Чеви Чейзом, то, что вытворяет ваша семья,  покажется вам детским лепетом по сравнению с приключениями семьи  Гризвольдов!"
«Один дома»,1990,"Прошло более тридцати лет с тех пор, как наш любимый рождественский фильм «Один дома» заработал в прокате 285 миллионов долларов, но нам никогда не надоест смотреть на то, как 8-летний Кевин Мак-Калистер срывает планы мерзких бандитов!"
«Один дома – 2: затерянный в Нью-Йорке»,1992,"Кевин Мак-Калистер вернулся! Но теперь он один не дома, а в Нью-Йорке, и у него достаточно денег и кредитных карточек, чтобы превратить Большое Яблоко в собственную площадку для игр. К тому же его старые приятели ― жулики Гарри и Марв ― сбежали из тюрьмы. Новые западни и ловушки уже ждут горе-бандитов."
«Рождественские хроники»,2018,"В канун Рождества брат с сестрой — Кейт и Тедди Пирс — собираются снять на видео появление Санты. Дерзкий замысел выливается в необыкновенное приключение, о котором дети не могли даже мечтать. Вместе с преданными эльфами и волшебными летающими оленями они помогают Санте спасти всеми любимый праздник. А еще есть вторая часть!"
«Клаус»,2019,"Эта оригинальная история от Netflix о почтальоне, который подружился с мастером игрушек, — отличный семейный рождественский фильм, особенно благодаря прекрасной анимации, которая заставит вас  почувствовать волшебство праздника."
«Семьянин»,2000,"Ник Кейдж играет  холостяка-трудоголика из Нью-Йорка, который, проснувшись на Рождество, обнаруживает себя в пригороде Нью-Джерси. Мало того что он сменил локацию, так у него еще внезапно появилась семья, да и вообще, его жизнь теперь совсем-совсем другая."
«Мистер Джангл и рождественское путешествие»,2020,"В этой научно-фантастической сказке стареющий игрушечный мастер, которого много-много лет назад предал ученик, вновь обретает интерес к работе и жизни, ведь оказалось, что у него есть внучка!"
«Эрнест спасает Рождество»,1988,"Санта-Клаус заболел, улегся в постель и теперь не может ездить на своей волшебной оленьей упряжке, раздавать подарки и выполнять желания. Если ему не найдут замену, Рождества не будет. И Новый год не придет никогда. Помочь Санте и всему миру может только один человек — неуклюжий и добрый Эрнест..."
«Отпуск по обмену»,2006,"Две девушки, одна из Англии, другая из США, почти случайно решают поменяться домами на праздники. Кому из них больше повезло — непонятно, но жизнь обеих полностью меняется!"
«Чудо на 34-й улице»,1947,"Волшебная, волшебная классика! Крис Крингл отправляется в суд, чтобы доказать свою личность, и он заставит вас (и особенно ваших детей) поверить в Санта-Клауса."
